GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
36061025300,121,169344,134541.788,2800.790117,14,132,2,1,0,38,4,0,100,0,10081,15.71272691,5.277254241,54020,36061025300,1144
36061027100,122,192909,135749.5918,7651.552689,23,141,0,0,0,24,5,0,100,0,7623,26.49875377,2.820411911,89167,36061027100,798
36061028300,123,151093,82082.47582,4706.220444,10,70,1,0,0,16,4,13.18530163,86.81469837,0,7740,18.94056848,6.57622739,70404,36061028300,973
36061000100,124,76389,39909.26144,0,0,10,0,1,0,2,0,29.87923646,23.72419166,9.816906895,0,0,0,0,36061000100,8
36061000201,125,90233,57971.27604,5470.078619,8,37,0,1,0,8,1,9.676265427,49.66911107,0,2012,10.98409543,12.12723658,31076,36061000201,661
36061000202,126,310040,105260.6602,8473.499211,19,53,0,1,0,7,2,9.518067446,34.49495559,0,7266,21.67630058,12.96449216,48552,36061000202,1708
36061000500,127,843918,242318.3052,0,0,15,0,2,0,5,0,5.249650023,6.754549697,0,5,0,20,0,36061000500,16
36061000600,128,240406,149365.937,6569.694184,18,140,4,0,0,40,8,4.092983457,63.56959498,0,11616,9.857093664,10.56301653,24841,36061000600,2084
36061000700,129,253229,192896.9193,5472.313733,26,786,5,6,1,122,3,0.077353326,46.00142806,1.517315245,10542,64.33314362,3.348510719,250000,36061000700,1489
36061000900,130,298886,201985.3974,9030.240316,23,641,13,8,2,121,7,1.134099617,34.5440613,0.977011494,2016,56.94444444,7.490079365,250000,36061000900,541
36061001002,131,199682,35101.14064,4959.024329,12,19,0,2,0,0,0,6.814992985,41.89216276,0,6300,2.126984127,20.06349206,27446,36061001002,1295
36061001200,132,120597,44867.44636,3557.660321,13,37,1,0,0,3,1,12.58016774,87.41983226,0,3776,45.15360169,3.125,73438,36061001200,558
36061001300,133,317216,203074.8952,10471.44823,53,734,6,7,1,100,12,16.8977145,78.51255152,2.023229674,5402,61.81044058,3.128470937,219107,36061001300,991
36061001401,134,93505,27636.74518,1995.852098,4,36,0,0,0,5,2,39.56148713,60.43851287,0,3543,58.70731019,2.483770816,143672,36061001401,551
36061025700,135,144062,105113.1891,3587.357429,16,76,0,0,0,10,2,4.782519068,95.21748093,0,4270,31.56908665,36.93208431,97028,36061025700,440
36061024200,136,347358,111285.4359,15247.6241,45,65,1,3,0,9,0,5.300331655,70.46431642,0.055275765,4448,4.249100719,44.08723022,41544,36061024200,1059
36061008603,137,116894,73034.48627,9204.636902,14,67,0,0,1,9,3,0,47.91575252,0,5347,78.13727324,1.084720404,250000,36061008603,883
36061021303,138,153292,112471.197,5814.935779,18,52,0,0,0,8,7,5.813953488,94.18604651,0,5583,20.97438653,35.21404263,59318,36061021303,606
36061023100,139,182674,103102.3345,8543.928728,20,67,0,0,0,10,4,9.243014945,90.75698506,0,6273,22.27004623,34.36952017,55054,36061023100,585
36061023802,140,243418,92243.1,0,0,25,0,1,0,1,1,10.71238136,26.15975259,0,4791,31.55917345,12.21039449,111667,36061023802,490
36061031704,141,225043,102335.1818,5928.935134,29,101,0,0,0,19,6,5.364562118,17.39307536,0,10422,60.91920936,1.544809058,215250,36061031704,1733
36061001501,142,270812,180659.3937,13834.61982,47,470,5,1,2,80,6,2.434215,69.95308357,0,8385,56.58914729,4.341085271,153188,36061001501,1155
