LST,id_x,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,barren,water,slope,id_y,aspect,elevation,id,poi_num,bldg_area,nodes_num,aspect_class,Southwest,Northeast,East,Northwest,South,West,North,Southeast
18.35067182,35,-122.3664,37.8626,35,1,0,0,0,0,0,67.82659872,0,35,0,0,1395,0,0,0,North,0,1,0,0,0,0,0,0
18.46346648,36,-122.3616,37.8626,36,1,0,0,0,0,0,67.82659872,0,36,0,0,1436,0,0,0,North,0,1,0,0,0,0,0,0
18.27205736,37,-122.3567,37.8626,37,1,0,0,0,0,0,67.82659871,0,37,0,0,1477,0,0,0,North,0,1,0,0,0,0,0,0
18.0567221,38,-122.3519,37.8626,38,1,0,0,0,0,0,67.82659871,0,38,0,0,1518,0,0,0,North,0,1,0,0,0,0,0,0
18.20711498,39,-122.347,37.8626,39,1,0,0,0,0,0,67.82659872,0,39,0,0,1559,0,0,0,North,0,1,0,0,0,0,0,0
18.45663044,40,-122.3422,37.8626,40,1,0,0,0,0,0,67.82659872,0,40,0,0,1600,0,0,0,North,0,1,0,0,0,0,0,0
18.56258906,41,-122.3373,37.8626,41,1,0,0,0,0,0,67.82659872,0,41,0,0,1641,0,0,0,North,0,1,0,0,0,0,0,0
18.6377855,42,-122.3325,37.8626,42,1,0,0,0,0,0,67.82659871,0,42,0,0,1682,0,0,0,North,0,1,0,0,0,0,0,0
22.3292471,44,-122.5314,37.8587,1,2,45.59213287,0,20.99860014,0.51094498,0.72838627,0,8.36241913,44,305.9961853,95.90203857,2,0,0,0,Northwest,0,0,0,1,0,0,0,0
23.78874164,45,-122.5265,37.8587,2,2,52.6647274,0,15.16533685,0,0,0,11.46128941,45,282.6748962,179.1244507,43,0,214.3385579,0,West,0,0,0,0,0,0,0,1
25.42597322,46,-122.5217,37.8587,3,2,44.89989213,0.12677044,22.80340168,0,0,0,14.02366352,46,32.90301132,218.5948334,84,0,0,0,Northeast,0,0,1,0,0,0,0,0
18.65145758,47,-122.5168,37.8587,4,2,60.32347813,0,7.49360582,0,0.0129803,0,14.73908901,47,17.73595428,160.2616272,125,0,0,0,North,0,1,0,0,0,0,0,0
19.15732454,48,-122.512,37.8587,5,2,51.36428128,0,16.46578297,0,0,0,8.88449192,48,355.9302368,185.3044434,166,3,0,11,North,0,1,0,0,0,0,0,0
19.43076614,49,-122.5071,37.8587,6,2,58.23899478,0,9.59106947,0,0,0,12.40648556,49,35.76920319,107.0618515,207,6,0,10,Northeast,0,0,1,0,0,0,0,0
19.63242932,50,-122.5023,37.8587,7,2,57.12505161,0,2.34358828,8.1585916,0.20283276,0,14.62057114,50,3.27900958,115.7795792,248,13,15405.58808,4,North,0,1,0,0,0,0,0,0
26.15401148,51,-122.4974,37.8587,8,2,58.17431914,0,0,9.55432874,0.10141637,0,10.69616604,51,31.67381668,50.83597946,289,17,45662.4766,0,Northeast,0,0,1,0,0,0,0,0
32.1389645,52,-122.4926,37.8587,9,2,55.37675861,0,0,12.40259744,0.0507082,0,10.62239742,52,7.02766466,47.70271683,330,0,71030.49147,0,North,0,1,0,0,0,0,0,0
34.00520342,53,-122.4877,37.8587,10,2,22.11616686,0,0.25573964,44.10921869,1.02794045,0.32099861,5.15212154,53,51.42496109,8.66425037,371,0,53179.4856,0,Northeast,0,0,1,0,0,0,0,0
33.18487862,54,-122.4829,37.8587,11,2,13.26111408,0,0.02535409,31.59507048,1.90735944,21.04116616,2.90530705,54,4.91169167,0.23604058,412,0,15437.20897,0,North,0,1,0,0,0,0,0,0
23.60416856,55,-122.478,37.8587,12,2,0.10141634,0,0.6338521,13.82258102,0.50684214,52.76537265,0.33950242,55,10.01397133,-0.03376355,453,0,0,0,North,0,1,0,0,0,0,0,0
18.03279596,56,-122.4732,37.8587,13,2,0,0,0,0,0,67.83006425,0,56,0,-0.30000001,494,0,0,0,North,0,1,0,0,0,0,0,0
17.68415792,57,-122.4683,37.8587,14,2,0,0,0,0,0,67.83006425,0.01331744,57,351.9696655,-0.29921031,535,0,0,0,North,0,1,0,0,0,0,0,0
17.53376504,58,-122.4635,37.8587,15,2,0,0,0,0,0,67.83006425,0.02563222,58,343.4819336,-0.28310776,576,0,0,0,North,0,1,0,0,0,0,0,0
17.12018462,59,-122.4586,37.8587,16,2,0,0,0,0,0,67.83006425,0.63566977,59,179.3434448,-0.20522007,617,0,0,0,South,0,0,0,0,1,0,0,0
16.94244758,60,-122.4538,37.8587,17,2,0,0,0,0,0,67.83006425,9.04E-05,60,90,-0.30000001,658,0,0,0,East,1,0,0,0,0,0,0,0
16.52886716,61,-122.4489,37.8587,18,2,0,0,0,0,0,67.83006425,0.26181695,61,270,-0.30000001,699,0,1193.438343,0,West,0,0,0,0,0,0,0,1
16.54937528,62,-122.4441,37.8587,19,2,11.91039108,0,7.23681303,0.35495736,0.36375915,47.96414363,4.16746569,62,262.6674805,16.94055176,740,0,3889.302605,0,West,0,0,0,0,0,0,0,1
16.19048318,63,-122.4392,37.8587,20,2,34.2489354,0,33.32017065,0.18489591,0.07606229,0,9.26902199,63,276.4868774,39.67417145,781,2,0,0,West,0,0,0,0,0,0,0,1
14.5703417,64,-122.4344,37.8587,21,2,20.56142972,0,46.53336602,0.73526851,0,0,7.52692509,64,242.5393524,137.7340698,822,0,0,0,Southwest,0,0,0,0,0,0,1,0
13.88331968,65,-122.4295,37.8587,22,2,26.28145828,0.0253541,41.52325187,0,0,0,11.3278265,65,158.79982,157.4759522,863,1,0,0,South,0,0,0,0,1,0,0,0
14.85403736,66,-122.4247,37.8587,23,2,22.23290645,0,43.247706,2.19732729,0.1521245,0,11.09936333,66,102.8517609,124.6071549,904,0,190.8058634,0,East,1,0,0,0,0,0,0,0
15.74614058,67,-122.4198,37.8587,24,2,14.69207096,0,6.16058605,1.8404695,0.70991466,44.42702308,6.40970135,67,85.53969574,3.26237869,945,0,0,0,East,1,0,0,0,0,0,0,0
18.33699974,68,-122.415,37.8587,25,2,0,0,0,0,0,67.83006425,0.00380253,68,273.0253906,-0.28494725,986,0,0,0,West,0,0,0,0,0,0,0,1
17.5440191,69,-122.4101,37.8587,26,2,0,0,0,0,0,67.83006425,0.03034325,69,254.2783508,-0.25964931,1027,0,0,0,West,0,0,0,0,0,0,0,1
17.68415792,70,-122.4052,37.8587,27,2,0,0,0,0,0,67.83006425,0.00217424,70,270,0,1068,0,0,0,West,0,0,0,0,0,0,0,1
17.6636498,71,-122.4004,37.8587,28,2,0,0,0,0,0,67.83006425,0,71,0,0,1109,0,0,0,North,0,1,0,0,0,0,0,0
17.56452722,72,-122.3955,37.8587,29,2,0,0,0,0,0,67.83006425,0,72,0,0,1150,0,0,0,North,0,1,0,0,0,0,0,0
17.7491003,73,-122.3907,37.8587,30,2,0,0,0,0,0,67.83006425,0,73,0,0,1191,0,0,0,North,0,1,0,0,0,0,0,0
17.69099396,74,-122.3858,37.8587,31,2,0,0,0,0,0,67.83006425,0,74,0,0,1232,0,0,0,North,0,1,0,0,0,0,0,0
17.74226426,75,-122.381,37.8587,32,2,0,0,0,0,0,67.83006425,0,75,0,0,1273,0,0,0,North,0,1,0,0,0,0,0,0
17.68415792,76,-122.3761,37.8587,33,2,0,0,0,0,0,67.83006425,0,76,0,0,1314,0,0,0,North,0,1,0,0,0,0,0,0
17.75251832,77,-122.3713,37.8587,34,2,0,0,0,0,0,67.83006425,0,77,0,0,1355,0,0,0,North,0,1,0,0,0,0,0,0
18.22420508,78,-122.3664,37.8587,35,2,0,0,0,0,0,67.83006425,0,78,0,0,1396,0,0,0,North,0,1,0,0,0,0,0,0
18.42586826,79,-122.3616,37.8587,36,2,0,0,0,0,0,67.83006425,0,79,0,0,1437,0,0,0,North,0,1,0,0,0,0,0,0
18.39168806,80,-122.3567,37.8587,37,2,0,0,0,0,0,67.83006425,0,80,0,0,1478,0,0,0,North,0,1,0,0,0,0,0,0
18.25838528,81,-122.3519,37.8587,38,2,0,0,0,0,0,67.83006425,0,81,0,0,1519,0,0,0,North,0,1,0,0,0,0,0,0
18.25496726,82,-122.347,37.8587,39,2,0,0,0,0,0,67.83006425,0,82,0,0,1560,0,0,0,North,0,1,0,0,0,0,0,0
18.38827004,83,-122.3422,37.8587,40,2,0,0,0,0,0,67.83006425,0,83,0,0,1601,0,0,0,North,0,1,0,0,0,0,0,0
18.53866292,84,-122.3373,37.8587,41,2,0,0,0,0,0,67.83006425,0.00956885,84,0,0,1642,0,0,0,North,0,1,0,0,0,0,0,0
18.67538372,85,-122.3325,37.8587,42,2,0,0,0,0,0,67.83006425,0.00941014,85,334.2236328,0,1683,0,0,0,Northwest,0,0,0,1,0,0,0,0
22.65054098,87,-122.5314,37.8549,1,3,9.7268669,0,58.10666272,0,0,0,12.06212807,87,263.4525452,173.6399689,3,0,0,0,West,0,0,0,0,0,0,0,1
27.48362126,88,-122.5265,37.8549,2,3,23.64603484,0.46637731,43.72111747,0,0,0,6.1117034,88,274.8388977,288.7648926,44,0,0,0,West,0,0,0,0,0,0,0,1
20.33654144,89,-122.5217,37.8549,3,3,12.02306337,2.43701725,49.69710824,0.25354077,3.4228,0,12.00860596,89,130.4592438,253.2447968,85,0,0,0,Southeast,0,0,0,0,0,1,0,0
15.0488645,90,-122.5168,37.8549,4,3,22.13926622,3.01285184,40.12685664,0,2.55455493,0,10.06457043,90,140.5115509,201.8382416,126,0,0,0,Southeast,0,0,0,0,0,1,0,0
14.74807874,91,-122.512,37.8549,5,3,14.12797665,10.31413238,43.37283964,0,0.01858096,0,13.35747814,91,177.1122437,201.7004547,167,0,0,3,South,0,0,0,0,1,0,0,0
14.85061934,92,-122.5071,37.8549,6,3,30.50209145,0.87750811,36.45393006,0,0,0,5.9021368,92,255.9505463,214.7470093,208,1,0,11,West,0,0,0,0,0,0,0,1
16.05034436,93,-122.5023,37.8549,7,3,46.46197629,0,21.27013707,0,0.10141626,0,4.44437361,93,320.7252502,240.4736328,249,14,0,14,Northwest,0,0,0,1,0,0,0,0
21.34827536,94,-122.4974,37.8549,8,3,61.39422626,0,4.85213752,1.58716584,0,0,14.69249725,94,23.49328804,236.8587036,290,32,10495.52635,14,Northeast,0,0,1,0,0,0,0,0
25.12518746,95,-122.4926,37.8549,9,3,56.78464575,0,0.80930746,10.21422235,0.02535406,0,16.12368584,95,50.81478882,185.9636231,331,60,49683.10846,6,Northeast,0,0,1,0,0,0,0,0
26.68380458,96,-122.4877,37.8549,10,3,61.68272718,0,0,6.04938616,0.10141628,0,10.35416317,96,6.1675024,109.1338577,372,1,57140.44271,0,North,0,1,0,0,0,0,0,0
31.23660722,97,-122.4829,37.8549,11,3,57.552928,0,0,10.2045394,0.07606223,0,10.89321518,97,81.09762573,70.67331696,413,0,36476.28376,0,East,1,0,0,0,0,0,0,0
23.55631628,98,-122.478,37.8549,12,3,9.31026625,0,0,15.63733746,0.95789178,41.92803413,7.79049397,98,85.6167984,11.14668083,454,0,0,0,East,1,0,0,0,0,0,0,0
17.9541815,99,-122.4732,37.8549,13,3,0,0,0,0,0,67.83352962,0,99,0,-0.30000001,495,0,0,0,North,0,1,0,0,0,0,0,0
17.48591276,100,-122.4683,37.8549,14,3,0,0,0,0,0,67.83352962,0.0349173,100,251.072937,-0.18674324,536,0,0,0,West,0,0,0,0,0,0,0,1
17.22956126,101,-122.4635,37.8549,15,3,0,0,0,0,0,67.83352962,0.0205654,101,269.6882629,-7.35E-05,577,0,0,0,West,0,0,0,0,0,0,0,1
