GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013420114,321,2597124,568245.7817,25386.76432,110,12,0,0,0,1,0,4.264559214,75.41250584,12.63839618,4009,55.3504615,1.4716887,68750,4013420114,3961
4013420216,322,2584536,645621.5464,17092.69969,126,99,1,0,0,12,2,1.72981671,78.74311719,1.030850074,4264,77.532833,2.0403377,87847,4013420216,3358
4013420401,323,3109579,169007.0766,28581.92697,50,5,0,0,0,0,0,7.830033261,55.41118813,28.67074902,4574,40.2710975,2.9077394,57415,4013420401,3100
4013420504,324,1347223,383707.2795,11836.92513,82,69,0,0,0,10,2,2.321120276,92.09907923,2.050163054,3438,59.4240838,3.4904014,75231,4013420504,2351
4013614500,325,3535944,258810.1706,30806.44569,130,22,0,0,0,0,0,1.407453062,54.71128814,12.51621331,4696,62.9897785,1.9378194,77450,4013614500,3713
4013614900,326,5780133,564195.2885,24152.13919,108,90,6,2,0,7,0,1.003795867,46.22072262,14.48783916,4213,72.0389271,3.465464,109000,4013614900,5112
4013610400,327,3355480,937652.8787,28998.49988,152,14,0,0,0,0,0,6.674859448,74.94847256,2.280754381,5676,78.1007752,1.70895,107371,4013610400,7674
4013813200,328,2582753,816145.1487,9102.245161,128,4,0,0,0,0,0,8.294574628,84.75673894,3.496521221,4852,57.1723001,3.7304204,162727,4013813200,7317
4013420602,329,2559356,748827.6906,11694.7914,134,59,0,0,0,0,0,2.60579662,91.48262163,0.624624778,4937,69.1918169,1.4178651,100015,4013420602,4278
4013420603,330,2544122,653158.1567,14258.91049,106,61,1,1,0,4,1,11.51875384,82.79232425,1.550010248,3972,75.2265861,1.93857,102083,4013420603,3517
4013421201,331,4628649,303139.7779,64388.98791,116,156,1,0,0,31,1,4.683159148,59.7642406,21.19606465,4837,53.0907587,5.3545586,49103,4013421201,3158
4013420704,332,2613637,553183.7306,9886.376746,106,23,0,0,0,0,0,7.32502373,82.3987111,1.27391717,5060,69.1501976,3.9920949,78798,4013420704,3684
4013420705,333,5200388,716382.6532,39470.71029,157,91,0,0,0,16,2,37.12280525,47.71030942,3.25170589,3693,78.8518819,1.3809911,144330,4013420705,3720
4013420706,334,2570546,640985.1384,12944.67402,100,47,0,0,0,5,0,12.37588472,81.41580528,1.866184633,5096,71.7425432,1.6091052,106912,4013420706,4603
4013420800,335,2592232,744031.1814,12263.23643,107,67,0,0,0,11,1,13.55020363,78.27065212,5.275529187,5275,55.5829384,3.1090047,87606,4013420800,4312
4013422609,336,2565519,638186.0588,17987.60049,130,32,0,0,0,1,0,4.199125973,72.46057382,2.022927354,4276,67.9373246,2.0813845,67143,4013422609,3168
4013422307,337,7762977,2067943.941,77762.89936,182,608,7,3,1,68,6,6.19040609,74.86992913,9.841223108,4400,57.4772727,5.9090909,81042,4013422307,3686
4013422308,338,2641304,705628.6635,18273.49879,146,225,3,0,1,37,4,6.355727702,85.67610044,2.840030194,5513,61.8538001,2.7571195,96915,4013422308,5328
4013422309,339,2592291,610262.3914,15966.02338,122,40,1,1,0,2,1,4.301604117,84.4292272,3.551251008,5662,57.2765807,3.8855528,107917,4013422309,4060
4013422401,340,2557667,706655.6941,12622.46748,56,314,2,0,0,42,2,6.230058139,75.91969026,14.31273883,3850,60.3116883,3.7662338,78170,4013422401,2294
4013422402,341,2475281,541107.7863,11419.35453,123,14,0,0,0,0,0,18.63422105,74.17906704,4.408677397,4735,63.5480465,2.6610348,82553,4013422402,3770
4013422403,342,2584627,661584.6706,23190.75049,168,158,0,0,2,19,0,3.428766707,92.69061361,1.944106926,5245,64.2135367,3.2983794,88750,4013422403,3919
