id,lon_id,lat_id,poi_num,bldg_area,nodes_num,LST,longitude,latitude,tree,shrubland,grassland,builtup,barren,water,cropland,slope,aspect,elevation,aspect_class
7820,51,21,0,12519.55694,0,65.05620611,-12476970,4007070,1.14152837,23.7044758,14.0201641,12.05695358,19.39740354,0,0.97588167,0.51533747,234.3689117,567.8664551,Southwest
7821,51,22,0,26521.72079,3,65.71930199,-12476970,4006530,0.12665714,11.35934776,8.95319859,15.70344157,34.40173047,0,0.75533066,0.75052476,213.7706451,561.5093994,Southwest
7822,51,23,0,8074.509374,2,65.44244237,-12476970,4005990,0.93726238,7.13649279,2.90847051,19.83373331,39.09111222,0,1.39593385,0.65381598,216.5256195,558.2595825,Southwest
7823,51,24,0,0,0,65.44244237,-12476970,4005450,0.12665691,7.74961279,29.05328559,10.21547313,20.18089514,0,3.98038009,0.48959881,223.4678803,555.4667358,Southwest
7824,51,25,0,0,0,65.86285883,-12476970,4004910,0.06199788,10.24826584,29.6874591,10.3893333,20.83521669,0,0.08732925,0.38981164,234.2086639,552.3635254,Southwest
7825,51,26,0,0,0,65.09038631,-12476970,4004370,2.2276542,10.31090083,26.71028468,10.93885552,20.21327635,0,0.91192823,0.25883302,267.8226013,551.5510864,West
7826,51,27,3,20819.49057,0,67.17879653,-12476970,4003830,0.05216637,8.21662016,29.48641122,15.06914547,17.88390295,0,0.60795172,0.2364129,82.12552643,552.8017578,East
7827,51,28,0,25558.27514,2,65.68170377,-12476970,4003290,0.30397553,4.79768283,7.84375198,23.55134591,33.24689537,0,1.57584407,0.37330315,79.69592285,552.6229248,East
7828,51,29,0,22375.13774,1,66.22687796,-12476970,4002750,0.70927591,6.91503275,17.33041731,20.17511588,24.56118676,0,1.63176445,0.46314669,60.66130066,553.5697022,Northeast
7829,51,30,1,5844.586108,2,66.27814826,-12476970,4002210,1.69650893,18.03019617,15.24642129,14.35776087,21.78173593,0,0.21346758,1.01325083,47.16228867,558.6047363,Northeast
7830,51,31,0,25584.10437,8,65.85260477,-12476970,4001670,0.34465427,37.11124329,7.31144344,12.76790833,13.79413822,0,0,1.3400023,32.87971878,563.1567383,Northeast
7831,51,32,0,12769.87621,0,64.46147063,-12476970,4001130,0.1566604,45.63732815,0.02533122,13.25801001,12.25535507,0,0,3.02716589,50.87452316,571.5492554,Northeast
7832,51,33,0,0,0,63.94705862,-12476970,4000590,0,71.31549838,0,0,0.0204829,0,0,4.52004576,207.2661591,552.7229004,Southwest
7833,51,34,0,0,0,65.41851623,-12476970,4000050,0,69.91839417,0,0,1.42088357,0,0,4.16015911,224.448288,538.8424072,Southwest
7834,51,35,0,0,0,66.71736383,-12476970,3999510,0,61.43217213,0.01685481,4.47430348,5.41924419,0,0,2.49989939,202.1950989,518.5076294,South
7835,51,36,0,0,0,68.0965349,-12476970,3998970,0,70.34948032,0.99638977,0,0,0,0,1.19271564,211.3286133,506.4094238,Southwest
7836,51,37,0,0,0,68.30503412,-12476970,3998430,0,68.84540189,2.50376456,0,0,0,0,0.94482446,208.2490387,500.486908,Southwest
7837,51,38,0,0,0,68.30503412,-12476970,3997890,0,63.78309103,5.63553482,0,1.93383614,0,0,0.7512368,235.2324066,496.8367004,Southwest
7838,51,39,0,0,0,67.48470932,-12476970,3997350,0,66.66882199,4.68693583,0,0,0,0,1.12246501,338.4578247,498.5657959,North
7839,51,40,0,0,0,67.56503279,-12476970,3996810,0,71.35905312,0,0,0,0,0,2.390975,56.88129807,507.5686646,Northeast
7840,51,41,0,0,0,66.8147774,-12476970,3996270,0,71.36234822,0,0,0,0,0,6.66651487,27.82914925,547.6984863,Northeast
7841,51,42,0,0,0,63.53518721,-12476970,3995730,0,71.3656432,0,0,0,0,0,7.34396791,77.05124664,581.7075806,East
7842,51,43,0,0,0,64.23929933,-12476970,3995190,0,71.36893814,0,0,0,0,0,4.08394718,144.9775391,566.7285156,Southeast
7843,51,44,0,0,0,66.32087351,-12476970,3994650,0,71.37223221,0,0,0,0,0,2.1085887,113.0888138,533.4888916,Southeast
7844,51,45,0,0,0,65.96881745,-12476970,3994110,0,71.37552669,0,0,0,0,0,0.741561,3.19043112,533.6651001,North
7845,51,46,0,0,0,64.75542035,-12476970,3993570,0,71.37882093,0,0,0,0,0,3.68685746,33.95638275,542.0045166,Northeast
7846,51,47,0,0,0,64.39652825,-12476970,3993030,0,70.43966359,0.7852574,0,0.15719378,0,0,6.69971991,181.6167908,525.5957642,South
7847,51,48,0,0,0,64.48539677,-12476970,3992490,0.59128355,39.4775004,0,23.00214038,8.31448421,0,0,3.67193174,196.3232727,491.5108948,South
7848,51,49,0,0,2,64.72294916,-12476970,3991950,0.02533083,34.06462667,0.20264659,17.50758847,19.58850925,0,0,2.01700974,235.0704193,485.0131226,Southwest
7849,51,50,0,0,0,66.59602412,-12476970,3991410,0.22797731,32.68045307,0,17.25645853,21.22710664,0,0,1.41125214,225.0292969,469.3893738,Southwest
7850,51,51,0,0,1,65.67144971,-12476970,3990870,0.02533078,57.70088801,0,4.05510195,9.61396786,0,0,1.11257839,242.6652069,466.7507324,Southwest
7851,51,52,0,0,0,65.98932557,-12476970,3990330,0,25.87178035,0,13.84884631,31.65262418,0,0.02533077,0.85335666,234.6610718,460.1937866,Southwest
7852,51,53,0,0,0,65.98932557,-12476970,3989790,0.05066151,22.02676524,0.8359146,17.36048824,31.12804446,0,0,0.75159842,234.803009,457.8361816,Southwest
7853,51,54,0,31391.01108,0,65.91412913,-12476970,3989250,0.48128384,21.46822304,1.13988258,13.56422987,34.75154723,0,0,0.91502047,247.6267853,455.2113037,West
