LST,id,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Northeast,Northwest,Southwest,West,South,Southeast,East,North
23.41959548,7697,-74.0612,40.6711,41,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.04357998,26.91480255,-0.2207339,0.0,0.0,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0470313,7698,-74.0563,40.6711,42,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.02732166,90.0,-1.62,0.0,0.0,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.10513764,7699,-74.0515,40.6711,43,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.96499882,7700,-74.0466,40.6711,44,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.53091028,7701,-74.0418,40.6711,45,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.7223194,7702,-74.0369,40.6711,46,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.93081862,7703,-74.0320,40.6711,47,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.62319682,7704,-74.0272,40.6711,48,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.0,0.0,-1.62,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.98208892,7705,-74.0223,40.6711,49,67,0.0,0.0,0.0,0.0,0.0,65.20343659,0.03296027,270.0,-1.62,0.0,7052.518412422948,0.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.23068778,7706,-74.0175,40.6711,50,67,0.0,0.0,0.07611142,14.11861211,2.88377827,48.12493478,0.22645482,235.87815857,-0.70600873,1.0,34657.095880911416,0.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.97581614,7707,-74.0126,40.6711,51,67,0.27860444,0.0,3.72806518,28.78682641,4.79553116,27.53623636,0.48414063,229.81845093,0.3027494,4.0,41277.62926447383,3.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.86516956,7708,-74.0078,40.6711,52,67,6.68130036,0.0,20.64840327,26.30673472,8.49523267,2.28734251,0.19494039,190.42396545,2.97442937,3.0,32011.81736940266,3.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42.42378668,7709,-74.0029,40.6711,53,67,11.19516712,0.0,4.09294514,43.10052218,5.05329959,1.7361321,0.22999898,157.98596191,3.09011555,17.0,67180.59145615768,11.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39.17666768,7710,-73.9981,40.6711,54,67,0.02537047,0.0,0.0,58.32352768,0.78200958,6.07252885,0.34212658,172.52470398,2.07611656,27.0,176094.0352534195,10.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44.80614662,7711,-73.9932,40.6711,55,67,1.37725644,0.0,0.0,63.45439382,0.37178633,0.0,0.74513012,325.11691284,4.37818384,79.0,204929.2756505056,9.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39.15615956,7712,-73.9884,40.6711,56,67,4.77932635,0.0,0.1268523,60.15845976,0.13879818,0.0,1.35622931,326.3359375,9.22378445,163.0,138614.65812213713,14.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.20105212,7713,-73.9835,40.6711,57,67,14.0744162,0.0,0.52963913,49.39913992,1.20024134,0.0,1.76507866,316.85830688,12.97800827,65.0,127207.83524333638,10.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.693247,7714,-73.9787,40.6711,58,67,10.00060323,0.0,0.23147481,54.81913576,0.15222279,0.0,1.91599715,306.70877075,26.25902939,126.0,138610.50462206328,13.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.95301652,7715,-73.9738,40.6711,59,67,12.83447402,0.0,0.05074095,52.13943434,0.17878728,0.0,1.65900552,300.39175415,40.79600906,24.0,81420.75460431956,13.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33.29083724,7716,-73.9690,40.6711,60,67,39.59208657,0.0,6.73068138,16.17216788,2.70850076,0.0,1.29363585,284.73812866,45.64431763,5.0,37432.647503478904,3.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.88363456,7717,-73.9641,40.6711,61,67,30.77453789,0.0,0.88136269,29.45547405,4.0666915,0.0,1.01544762,81.87400055,47.3296051,41.0,90035.91230272528,14.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.53555978,7718,-73.9593,40.6711,62,67,11.01395332,0.0,0.9387069,51.17034442,2.08043194,0.0,0.91664195,87.1115036,42.94116592,86.0,109478.04896263086,15.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.2655362,7719,-73.9544,40.6711,63,67,9.43893078,0.0,0.0,54.65715532,1.10735049,0.0,1.02273965,39.86533737,38.09415436,102.0,116137.17718210883,14.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.39929728,7720,-73.9496,40.6711,64,67,15.03121928,0.0,0.05587672,48.74376785,1.32183182,0.0,0.99286497,51.02584457,29.36121559,25.0,105401.44217104357,7.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38.28798248,7721,-73.9447,40.6711,65,67,13.34930328,0.0,0.42616225,49.55480745,1.87316361,0.0,0.70567518,27.37917519,26.89109421,68.0,104179.52614400718,14.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38.65712864,7722,-73.9399,40.6711,66,67,8.01294205,0.0,0.20296379,55.57933519,1.40819556,0.0,0.66898388,321.2951355,29.33088875,57.0,102776.1960129397,13.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38.72890706,7723,-73.9350,40.6711,67,67,5.55409746,0.0,0.10978179,58.98637287,0.55318447,0.0,0.65986162,341.28555298,31.30053711,102.0,126507.20090474552,8.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40.04484476,7724,-73.9302,40.6711,68,67,5.34184342,0.0,0.0,59.15122003,0.71037314,0.0,0.72056645,354.60952759,32.02623367,56.0,137480.59026073836,4.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40.77288302,7725,-73.9253,40.6711,69,67,2.20856524,0.0,0.15222275,62.5552736,0.287375,0.0,0.55306083,73.26850128,29.41933441,45.0,117792.8358238519,9.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.65963006,7726,-73.9205,40.6711,70,67,4.42710253,0.0,0.76111384,58.14930435,1.86591587,0.0,1.38187277,156.72337341,25.48141098,16.0,96293.51273569184,19.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.73334664,7727,-73.9156,40.6711,71,67,5.27751079,0.0,0.66710294,57.87841681,1.3296651,0.0,1.80781496,153.9879303,22.50677681,40.0,96146.10668183275,17.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.57611772,7728,-73.9108,40.6711,72,67,11.0482413,0.0,4.44751546,48.15521017,0.81672621,0.0,0.985048,159.59475708,16.28653526,86.0,95519.38927356692,11.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40.80706322,7729,-73.9059,40.6711,73,67,7.69450849,0.0,4.31229591,50.14141185,3.05522034,0.0,0.6343441,162.31193542,15.56740761,14.0,85155.05180066246,15.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43.9482236,7730,-73.9011,40.6711,74,67,0.1775933,0.0,0.37608223,64.37068591,0.27907516,0.0,0.58357996,156.97653198,13.71273518,20.0,151406.16445903355,15.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44.38914818,7731,-73.8962,40.6711,75,67,1.08048224,0.0,3.01715485,59.60894179,1.4968577,0.0,0.44025549,147.32536316,11.75172043,33.0,101697.87136598176,14.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40.45842518,7732,-73.8914,40.6711,76,67,2.3344603,0.0,4.21138018,58.43956056,0.21803555,0.0,0.41095215,141.77810669,10.54109287,15.0,83734.22989037228,14.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.90424764,7733,-73.8865,40.6711,77,67,5.2099294,0.0,7.34085022,50.85078933,1.80186764,0.0,0.38227352,166.05293274,8.54625607,27.0,84638.8494420744,16.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41.75385476,7734,-73.8817,40.6711,78,67,1.93216345,0.0,2.75973005,59.32571298,1.18583011,0.0,0.3796972,111.53168488,7.70600796,17.0,95422.29535477278,13.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.7181947,7735,-73.8768,40.6711,79,67,0.6596321,0.0,2.44086782,61.53932256,0.5636141,0.0,0.30816698,114.89227295,5.64926434,28.0,82634.29874140442,12.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40.29777824,7736,-73.8720,40.6711,80,67,16.83855577,0.0,8.05123622,38.3252706,1.93763308,0.0,0.33731043,171.78164673,5.32656145,11.0,75820.21004877742,10.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40.90960382,7737,-73.8671,40.6711,81,67,0.88796624,0.0,2.31867823,60.47456408,1.49685757,0.0,0.42188919,144.65626526,3.74149275,15.0,80755.77748031674,12.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42.38960648,7738,-73.8623,40.6711,82,67,0.35255211,0.0,6.44990135,54.00402508,4.27010574,0.0,0.26752168,137.72715759,2.71822333,7.0,52412.12015558269,27.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
