LST,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,id,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southwest,East,Northwest,North,West,South,Northeast,Southeast
45.43848032,-71.0876,42.3958,22,1,5.78377335,0.0,0.94443492,56.08754558,22,0.6974099,0.0,0.30305359,106.79547882,7.97702932,8.0,47514.21252876304,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.44702537,-71.0827,42.3958,23,1,1.46991363,0.0,4.74173676,49.02120118,23,1.48333694,6.08631709,0.72356087,72.28307343,3.02456379,60.0,113491.5157585414,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.9495985,-71.0778,42.3958,24,1,1.73532679,0.0,1.66974383,26.30149898,24,2.73390421,31.02761326,0.26184136,47.81455231,0.83725607,38.0,66694.3354280437,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.91929462,-71.0730,42.3958,25,1,3.56161724,0.0,3.02029712,27.57724869,25,6.82012301,22.33083253,0.58769357,219.38954163,4.16200209,12.0,112757.9688361325,15.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.09348945,-71.0681,42.3958,26,1,2.08037518,0.0,1.95054982,51.41654594,26,6.53492294,1.53076986,0.25917852,190.36499023,3.64260197,21.0,118669.81873816013,0.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.41638738,-71.0633,42.3958,27,1,1.64974207,0.0,0.12690323,60.51416354,27,1.22235491,0.0,0.13499582,248.95399475,5.55103493,10.0,64892.288934566466,0.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36.23204345,-71.0584,42.3958,28,1,0.0,0.0,0.0,56.88921969,28,6.62394406,0.0,0.19534729,56.33695984,5.62811184,1.0,31467.726971681535,7.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.64904189,-71.0536,42.3958,29,1,0.0,0.0,0.0,57.76607358,29,4.0719673,1.67512286,0.20531085,75.98786926,2.75144339,15.0,108711.15979438952,4.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.79305703,-71.0487,42.3958,30,1,0.22842575,0.0,0.25004693,60.28088079,30,2.72137857,0.0324317,0.14690267,42.97176361,2.62269545,18.0,122647.26537578147,22.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41.02752551,-71.0439,42.3958,31,1,0.0,0.0,1.97969057,55.33590568,31,4.01483144,0.0,0.12597743,23.03696823,1.62780094,23.0,87209.42812634425,15.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43.674782,-71.0390,42.3958,32,1,1.40220499,0.0,0.48223241,58.34622374,32,3.28250261,0.0,0.10399124,328.11618042,2.44719791,35.0,55745.85583845155,12.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43.55173328,-71.0342,42.3958,33,1,5.62155576,0.0,0.0,56.33245273,33,1.55915525,0.0,0.58037484,288.7059021,4.61098385,41.0,78042.12366712661,15.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.32545651,-71.0293,42.3958,34,1,5.70221011,0.0,0.25380642,55.68991554,34,1.86723167,0.0,0.15465376,56.06248093,7.33952236,45.0,93569.88695487363,12.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44.65746275,-71.0245,42.3958,35,1,4.10593376,0.0,0.34172256,56.24825591,35,2.81725151,0.0,1.22990549,172.97119141,2.20488477,12.0,64422.223068167215,2.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43.34836109,-71.0196,42.3958,36,1,2.23349715,0.0,5.34856652,34.86103911,36,4.87637499,15.86373748,0.54745674,119.77119446,0.68899077,1.0,17720.968398483044,0.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.2419634,-71.0148,42.3958,37,1,2.09609253,0.0,0.44534345,5.79115439,37,2.12830824,53.05226514,0.06680126,85.7423172,-1.79328239,5.0,36163.517305596775,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.93375911,-71.0099,42.3958,38,1,2.65502483,0.0,9.15326716,37.16558737,38,4.31911895,10.19478479,1.62693667,350.32989502,3.14250493,4.0,26366.790475813345,5.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39.76456712,-71.0051,42.3958,39,1,1.25129373,0.0,1.11823101,47.01796743,39,7.39358059,5.8417963,0.82853115,2.99223495,2.44488454,1.0,17183.293878842873,12.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43.70041715,-71.0002,42.3958,40,1,3.3080577,0.0,7.09854736,34.84305401,40,14.92722446,0.39271674,0.14791144,1.7559818,3.85689664,2.0,32406.045173135266,16.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.50354689,-70.9954,42.3958,41,1,8.27511227,0.0,13.11233177,20.27361385,41,9.05241802,0.03939205,0.32780343,261.49291992,2.23472071,1.0,39899.36809912332,14.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42.04951349,-70.9905,42.3958,42,1,12.87973145,0.0,4.95507781,44.75776277,42,0.92059171,0.0,2.16037297,262.59326172,5.49014711,4.0,56119.74276400274,0.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.77994821,-70.9857,42.3958,43,1,15.83715581,0.0,0.35797126,43.5384571,43,1.72929461,2.05028496,2.04264832,68.0025177,21.40025711,3.0,56016.66847586522,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
