id,longitud,latitude,lon_id,lat_id,LST,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southeast,South,Southwest,East,Northeast,West,Northwest,North
4936,-73.9496,40.7593,34,43,26.33003951,9.33483617,0,0.6398367,13.8766908,0.95517853,40.03277954,0.30349767,136.8888092,1.43669224,1,56574.32424,1,Southeast,0,0,0,0,0,1,0,0
4937,-73.9447,40.7593,35,43,42.17256221,0.09838029,0,0,62.54645022,0.10382535,2.36974669,0.38543978,309.9654236,2.22234082,26,161738.1201,9,Northwest,0,0,0,1,0,0,0,0
4938,-73.9399,40.7593,36,43,41.9315918,4.08330133,0,0.43246762,60.35986803,0.24276558,0,0.144484,257.8013611,4.53106308,74,126933.4865,15,West,0,0,0,0,0,0,0,1
4939,-73.935,40.7593,37,43,41.25482384,22.05797412,0,0.17643612,41.92246296,0.96152937,0,0.56054324,298.4068603,6.4396534,28,104013.3736,7,Northwest,0,0,0,1,0,0,0,0
4940,-73.9302,40.7593,38,43,38.74770617,4.01399239,0,0.10148395,60.98941396,0.01351224,0,0.9587242,297.468811,9.53538799,56,124150.0677,9,Northwest,0,0,0,1,0,0,0,0
4941,-73.9253,40.7593,39,43,38.34096179,1.95017277,0,0.15222591,63.01600388,0,0,0.28994343,242.9650574,14.73694992,76,137373.1419,7,Southwest,0,0,0,0,0,0,1,0
4942,-73.9205,40.7593,40,43,39.8807798,1.00863207,0,0.35519367,63.70383483,0.05074198,0,0.43583617,247.1495972,19.25523758,235,137017.5989,7,Southwest,0,0,0,0,0,0,1,0
4943,-73.9156,40.7593,41,43,39.07412708,0.586679,0,0.17759688,64.35412667,0,0,0.46385315,202.8624573,19.59874725,46,113732.2595,9,Southwest,0,0,0,0,0,0,1,0
4944,-73.9108,40.7593,42,43,39.74918603,2.20783763,0,0.05074199,62.50462907,0.35519387,0,0.57456177,149.170639,18.58989334,26,106580.4951,9,Southeast,0,0,0,0,0,1,0,0
4945,-73.9059,40.7593,43,43,38.60414933,16.17669555,0,0.35205685,48.25982741,0.32982275,0,0.47670081,196.9517059,18.26006508,9,79617.34892,5,South,0,0,0,0,1,0,0,0
4946,-73.9011,40.7593,44,43,44.75658533,16.79463884,0,4.42794219,42.5712147,1.32460683,0,1.22043097,86.09155273,11.46966171,11,68711.01624,13,East,1,0,0,0,0,0,0,0
4947,-73.8962,40.7593,45,43,40.06022585,5.04699752,0,3.52361551,55.36471075,1.18307878,0,0.19738336,149.8325501,8.8954649,30,94175.643,11,Southeast,0,0,0,0,0,1,0,0
4948,-73.8914,40.7593,46,43,41.35736444,1.36124431,0,1.54052634,61.21767687,0.99895503,0,0.08443994,157.8324127,8.32850552,19,88591.16462,11,South,0,0,0,0,1,0,0,0
4949,-73.8865,40.7593,47,43,40.29436022,1.48266409,0,1.34377259,61.55620733,0.73575855,0,1.05588043,328.0396728,10.31628036,6,100128.5947,11,Northwest,0,0,0,1,0,0,0,0
4950,-73.8817,40.7593,48,43,39.92521406,1.82541655,0,1.25556502,61.8331125,0.20430848,0,1.24053323,2.44646144,13.28506947,21,105119.803,11,North,0,1,0,0,0,0,0,0
4951,-73.8768,40.7593,49,43,41.55902762,2.60782099,0,1.43505862,60.55606452,0.51945842,0,0.83280921,356.3642273,13.02582455,24,109271.8038,17,North,0,1,0,0,0,0,0,0
4952,-73.872,40.7593,50,43,41.61542495,2.1713441,0,2.55763427,59.77756452,0.61185966,0,0.70917141,287.0259094,15.74449253,18,93902.17085,11,West,0,0,0,0,0,0,0,1
4953,-73.8671,40.7593,51,43,42.02046032,1.21780731,0,1.64552327,61.62079729,0.63427468,0,0.37811992,301.5231934,24.4527359,34,104369.3226,12,Northwest,0,0,0,1,0,0,0,0
4954,-73.8623,40.7593,52,43,42.64253996,1.98805392,0,0.86261353,61.74021321,0.5275219,0,1.5025301,65.33232117,22.46010017,43,79354.22381,24,Northeast,0,0,1,0,0,0,0,0
4955,-73.8574,40.7593,53,43,40.88396867,8.38353724,0,2.2706661,49.66395093,0.96936642,3.83088187,1.69486701,49.53585052,3.83777618,3,22822.8384,15,Northeast,0,0,1,0,0,0,0,0
4956,-73.8526,40.7593,54,43,34.56063167,6.4726294,0,7.03722669,28.85981744,0.76608936,21.98263967,0.71038717,35.78388596,1.3198756,1,125.1434612,14,Northeast,0,0,1,0,0,0,0,0
4957,-73.8477,40.7593,55,43,39.70646078,0.49190148,0,3.74863141,48.04748664,3.7214708,9.10891223,0.58314437,302.7146912,1.79229963,26,82318.70772,15,Northwest,0,0,0,1,0,0,0,0
4958,-73.8429,40.7593,56,43,41.23602473,0.02537097,0,0.1268549,56.76577089,8.2004058,0,0.34948924,87.3533783,3.69709516,21,55553.15255,6,East,1,0,0,0,0,0,0,0
4959,-73.838,40.7593,57,43,33.57795092,4.09850169,0,0.5581617,34.31774653,7.81507816,17.16543958,0.09500609,189.9008636,1.45210123,43,121206.26,11,South,0,0,0,0,1,0,0,0
4960,-73.8332,40.7593,58,43,40.2225818,8.54686564,0,0,55.66497132,0.9065656,0,0.77855086,270.7033081,11.83917809,760,179881.6352,15,West,0,0,0,0,0,0,0,1
4961,-73.8283,40.7593,59,43,41.81025209,2.28311069,0,0.05074197,62.55621104,0.22833885,0,0.97662354,273.1987915,15.79585648,292,161101.1648,8,West,0,0,0,0,0,0,0,1
4962,-73.8235,40.7593,60,43,41.58466277,7.55412233,0,0.05074196,55.67277324,1.8111923,0,0.76536375,280.0881653,19.11626434,41,153667.5165,8,West,0,0,0,0,0,0,0,1
4963,-73.8186,40.7593,61,43,40.7181947,6.68426049,0,0,57.41882172,0.96878014,0,0.38315991,254.3504639,24.87047577,30,99698.78792,8,West,0,0,0,0,0,0,0,1
4964,-73.8138,40.7593,62,43,40.80535421,16.96024083,0,1.01483945,45.21885565,1.92446663,0,1.14349127,92.29026031,23.31977272,7,82734.5861,16,East,1,0,0,0,0,0,0,0
4965,-73.8089,40.7593,63,43,41.88373952,6.65798201,0,0.05074195,56.12223202,2.28744658,0,1.0730238,138.4398651,15.61995888,8,93499.51738,10,Southeast,0,0,0,0,0,1,0,0
4966,-73.8041,40.7593,64,43,41.21722562,3.33603359,0,0,60.68060541,1.10176356,0,0.67783254,258.3045044,18.37083626,127,97827.86775,16,West,0,0,0,0,0,0,0,1
4967,-73.7992,40.7593,65,43,40.31828636,9.7044158,0,0.28452584,52.82456326,2.30489766,0,1.13502944,201.3023682,22.90040207,33,78699.88663,16,South,0,0,0,0,1,0,0,0
4968,-73.7944,40.7593,66,43,41.44452395,7.6589984,0,1.49329757,53.59204532,2.37406126,0,0.67716217,165.7199402,20.00202751,43,84415.88286,15,South,0,0,0,0,1,0,0,0
4969,-73.7895,40.7593,67,43,40.98138224,7.4862003,0,3.36519284,53.00920862,1.2578008,0,0.03615915,219.7011108,20.51567078,64,90496.81844,15,Southwest,0,0,0,0,0,0,1,0
4970,-73.7847,40.7593,68,43,40.47038825,9.05340244,0,2.13312952,50.78505582,2.6326461,0,0.33585235,274.4058533,20.70939064,38,76605.84771,31,West,0,0,0,0,0,0,0,1
4971,-73.7798,40.7593,69,43,40.43279003,15.95288329,0,0.79309088,47.03460243,1.33782597,0,0.46663707,131.9621735,23.49205589,19,61879.30112,28,Southeast,0,0,0,0,0,1,0,0
4972,-73.775,40.7593,70,43,40.91985788,21.1741268,0,0.66361995,42.16433245,1.11632336,0,0.5264762,183.2521973,20.60320854,40,81052.10326,24,South,0,0,0,0,1,0,0,0
4973,-73.7701,40.7593,71,43,41.48554019,10.12806609,0,0.5071772,53.92499752,0.53279076,0,0.56020999,181.6980438,20.67020035,90,86401.28538,19,South,0,0,0,0,1,0,0,0
4974,-73.7652,40.7593,72,43,39.61930127,8.1262823,0,7.56249247,49.19584378,0.233784,0,0.28758445,122.5696564,19.78830719,41,60181.86094,14,Southeast,0,0,0,0,0,1,0,0
4975,-73.7604,40.7593,73,43,32.41069709,36.09117791,0,5.40889267,16.76032477,1.20250041,5.6555068,1.36459088,74.20516205,13.28344727,2,18187.70276,6,East,1,0,0,0,0,0,0,0
4976,-73.7555,40.7593,74,43,34.71273356,47.14747799,0,6.5142196,10.04191788,0.5245805,0.8394646,1.68430126,20.32476616,7.19626284,1,20996.10729,13,North,0,1,0,0,0,0,0,0
4977,-73.7507,40.7593,75,43,36.28844078,49.4852759,0,0.53648847,10.12724178,0.79194546,0,2.03959703,15.26308727,2.84231043,0,4099.183918,2,North,0,1,0,0,0,0,0,0
4978,-73.7458,40.7593,76,43,30.89993225,50.00679842,0,2.30875991,1.66922379,0.02537099,0,1.48963201,276.8921509,3.50661612,1,20896.57777,6,West,0,0,0,0,0,0,0,1
5019,-74.1097,40.7557,1,44,29.38062236,7.9771666,0,3.79221843,7.77230195,2.30071443,31.38296268,1.27342761,359.1237793,1.89928234,0,0,0,North,0,1,0,0,0,0,0,0
5020,-74.1048,40.7557,2,44,28.977296,6.16862218,0,1.02926348,7.12526569,0.20296765,49.642677,0.23323904,73.30063629,1.40789843,0,0,0,East,1,0,0,0,0,0,0,0
5021,-74.1,40.7557,3,44,26.35909268,0,0,0,6.21191234,0,58.91003412,0.20075747,10.85727596,0.02313098,0,0,0,North,0,1,0,0,0,0,0,0
