bldg_area,street_len,nodes_num,id,poi_num,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,LST,lon_id,lat_id,LST_class,East,North,Northeast,Northwest,South,Southeast,Southwest,West
0,0,0,48,0,0,36.08683761,0,0,33.21731965,0,24.61850166,Southwest,1254.73584,48.8530823,1,48,0,0,0,0,0,0,0,1,0
0,0,0,49,0,0,49.70106153,1.80273205,0,17.80376849,0,16.56810379,South,1352.468994,52.30186448,1,49,0,0,0,0,0,1,0,0,0
0,0,0,50,0,0,65.59495741,1.06447163,0,2.65153802,0,8.65333557,South,1351.174561,53.47766336,1,50,0,0,0,0,0,1,0,0,0
0,0,0,51,0,0,55.53889861,6.64164246,0,7.13382978,0,7.65839863,South,1529.490356,54.09290696,1,51,0,0,0,0,0,1,0,0,0
0,0,0,52,0,0,39.63672073,0,0,29.68105301,0,5.09323788,East,1525.054932,51.84726782,1,52,0,1,0,0,0,0,0,0,0
0,0,0,53,0,0,5.72723954,2.96586175,0,60.62807796,0,7.34617901,East,1450.684204,49.09576172,1,53,0,1,0,0,0,0,0,0,0
0,0,0,54,0,0,0.18584502,0.20250524,0,68.93623142,0,25.28421021,South,1374.02063,49.20513836,1,54,0,0,0,0,0,1,0,0,0
0,6781.086145,118,55,0,0,5.2318469,0.60516707,0,63.49097249,0,15.38790703,Southwest,1550.120361,50.50398596,1,55,0,0,0,0,0,0,0,1,0
0,0,0,56,0,0,2.42911777,1.412934,0,65.48933738,0,12.49446297,Southwest,1688.236816,51.03036104,1,56,0,0,0,0,0,0,0,1,0
0,0,0,57,0,0,11.70827683,1.6667214,0,55.95979437,0,16.80781174,Southwest,1709.489502,54.36293054,1,57,0,0,0,0,0,0,0,1,0
0,2577.297312,9,58,0,0,16.50077851,1.06682292,0,51.7705945,0,6.72801876,Southeast,1646.905762,59.66086154,1,58,3,0,0,0,0,0,1,0,0
0,1762.465241,4,59,0,0,13.55916016,4.20716516,0,51.57527359,0,8.40274048,East,1663.588135,60.75462794,1,59,3,1,0,0,0,0,0,0,0
0,2149.208541,5,60,0,0,1.56193169,0.07603306,0.05081056,67.65622644,0,14.05394459,Northeast,1605.935059,59.69162372,1,60,3,0,0,1,0,0,0,0,0
0,1079.612275,1,61,0,0,0.48154194,0.25344316,0,68.61341939,0,11.91406631,Northeast,1502.358154,53.69983466,1,61,0,0,0,1,0,0,0,0,0
0,5675.90401,95,62,0,0,21.71277527,2.10357654,0,45.53545526,0,5.81034136,Southeast,1322.761108,53.97327626,1,62,0,0,0,0,0,0,1,0,0
0,397.0325318,3,63,0,0,34.47965821,13.75916768,0.0760328,21.04035061,0,0.70109403,South,1242.185181,60.05393384,1,63,3,0,0,0,0,1,0,0,0
0,1543.09918,2,64,0,0,27.47025857,5.34753159,4.10987983,32.43094142,0,2.8723495,Southeast,1198.17041,61.60913294,1,64,4,0,0,0,0,0,1,0,0
0,178.6103428,1,65,0,0,20.1606954,0.012222,5.65140597,43.53769055,0,1.73794055,Southeast,1158.827393,60.35813762,1,65,3,0,0,0,0,0,1,0,0
0,0,0,66,0,0,16.08753085,9.09282537,0.0433292,44.14172987,0,4.43789768,East,1152.574707,58.17402284,1,66,2,1,0,0,0,0,0,0,0
0,0,0,67,0,0,0.04762519,0,0,69.09634159,0,3.7813673,Northeast,1130.120728,57.4494026,2,1,1,0,0,1,0,0,0,0,0
0,0,0,68,0,0,0.21847355,0,0,68.92890509,0,3.71483254,Northeast,1102.519531,57.35028002,2,2,1,0,0,1,0,0,0,0,0
0,0,0,69,0,0,0,0.0253456,0,69.12544468,0,5.21795797,East,1086.57666,57.94843352,2,3,1,1,0,0,0,0,0,0,0
0,0,0,70,0,0,0,0,0,69.15420205,0,3.30980849,East,1074.804565,57.20330516,2,4,1,1,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,69.15761337,0,2.75263357,Northeast,1078.977051,57.346862,2,5,1,0,0,1,0,0,0,0,0
0,0,0,72,0,0,0,0,0,69.16102455,0,2.86169863,Northeast,1097.231934,56.97771584,2,6,1,0,0,1,0,0,0,0,0
0,0,0,73,0,0,0,0,0,69.16443573,0,2.84183121,Northeast,1114.616577,57.45282062,2,7,1,0,0,1,0,0,0,0,0
0,0,0,74,0,0,0,0,0,69.16784658,0,2.93695784,Northeast,1128.154419,57.69550004,2,8,1,0,0,1,0,0,0,0,0
0,0,0,75,0,0,0,0,0,69.17125721,0,2.7018683,East,1228.515747,58.06122818,2,9,2,1,0,0,0,0,0,0,0
0,0,0,76,0,0,0,0,0,69.17466798,0,2.67908216,East,1275.445313,57.45623864,2,10,1,1,0,0,0,0,0,0,0
0,0,0,77,0,0,0.07603628,0,0,69.10204212,0,2.2604475,Northeast,1024.343262,56.98455188,2,11,1,0,0,1,0,0,0,0,0
0,0,0,78,0,0,0,0,0,69.18148868,0,2.2895906,Northeast,1011.192871,57.59637746,2,12,1,0,0,1,0,0,0,0,0
0,3348.265095,0,79,0,0,0,0,0,69.18489905,0,2.36074996,Northeast,985.3768311,57.48016478,2,13,1,0,0,1,0,0,0,0,0
0,2813.181037,1,80,0,0,0.53225263,0,3.04144316,65.61461319,0,2.52566934,Northeast,961.7593994,56.44792274,2,14,0,0,0,1,0,0,0,0,0
0,0,0,81,0,0,0.05069067,0,0,69.14102803,0,2.63344097,Northeast,955.1854248,57.1246907,2,15,1,0,0,1,0,0,0,0,0
0,0,0,82,0,0,0.06700048,0,0,69.12812807,0,2.72038984,Northeast,942.4285889,57.1076006,2,16,1,0,0,1,0,0,0,0,0
0,2229.546019,0,83,0,0,1.92073639,0.19569125,1.81530318,65.26680737,0,2.72569871,Northeast,934.661499,54.83119928,2,17,0,0,0,1,0,0,0,0,0
0,1499.105463,0,84,0,0,0.74158558,0.04493674,0,68.39014077,0,2.71558022,Northeast,930.6052246,54.18177548,2,18,0,0,0,1,0,0,0,0,0
825.9614075,2625.129873,3,85,0,0,3.29601785,0.02534524,0.00996464,65.87402913,0,2.47548008,Northeast,922.5284424,56.07877658,2,19,0,0,0,1,0,0,0,0,0
0,3376.539357,5,86,0,0.17741661,5.32050268,0,3.14548593,60.56536049,0,2.47773099,Northeast,913.0839233,55.78482686,2,20,0,0,0,1,0,0,0,0,0
0,0,0,87,0,0,8.09757948,0.03798735,0,61.07660774,0,2.284127,Northeast,908.3989258,58.39619414,2,21,2,0,0,1,0,0,0,0,0
0,5596.86033,1,88,0,0,6.82302346,1.03899705,0.01804659,61.3355165,0,2.90986753,Northeast,900.0229492,56.86150316,2,22,1,0,0,1,0,0,0,0,0
0,6531.780881,4,89,0,0,26.61062545,0.45636828,0.32948712,41.82251145,0,2.12268829,Northeast,894.7997437,57.0563303,2,23,1,0,0,1,0,0,0,0,0
0,0,0,90,0,0,34.55523653,6.38810758,0,28.2790566,0,2.77181697,Northeast,885.5626831,57.35369804,2,24,1,0,0,1,0,0,0,0,0
0,283.8582413,1,91,0,0,26.26442218,9.02224949,0,33.93913733,0,4.03830099,East,875.6330566,56.17448114,2,25,0,1,0,0,0,0,0,0,0
0,0,0,92,0,0,34.81543506,1.54598961,0,32.86779238,0,3.27376127,East,870.218689,58.3551779,2,26,2,1,0,0,0,0,0,0,0
0,0,0,93,0,0,59.60178808,0.44161414,0,9.18922274,0,2.10245538,Northeast,859.591919,57.82196678,2,27,1,0,0,1,0,0,0,0,0
0,0,0,94,0,0,60.93674723,7.79072589,0,0.50855998,0,10.57715416,Northwest,849.56604,52.53087182,2,28,0,0,0,0,1,0,0,0,0
0,0,0,95,0,0,44.64133012,15.62971644,0,8.96839405,0,8.47771168,Northwest,844.7196045,52.46251142,2,29,0,0,0,0,1,0,0,0,0
0,0,0,96,0,0,52.70150493,3.33646031,0,13.20488294,0,13.24664879,West,833.5563965,47.53030856,2,30,0,0,0,0,0,0,0,0,1
0,0,0,97,0,0,37.31653784,4.78885148,0,27.1408662,0,7.16718197,West,833.9257813,48.3745595,2,31,0,0,0,0,0,0,0,0,1
0,0,0,98,0,0,20.80000173,2.46917965,0,45.98048151,0,12.84519958,West,837.1330566,46.26564116,2,32,0,0,0,0,0,0,0,0,1
0,0,0,99,0,0,50.64262148,7.81346279,0,10.79698539,0,5.71973085,Northwest,844.4255981,48.90777062,2,33,0,0,0,0,1,0,0,0,0
0,0,0,100,0,0.05068985,30.08851322,18.99618606,0,20.12108738,0,14.11046791,Northeast,848.1439209,49.18463024,2,34,0,0,0,1,0,0,0,0,0
0,0,0,101,0,0,43.50268638,11.81786096,0,13.93933624,0,14.36851597,Northeast,855.5217896,51.91562822,2,35,0,0,0,1,0,0,0,0,0
0,0,0,102,0,0.75099339,38.5699939,22.07455867,0,7.86774415,0,17.7674942,Northeast,862.1451416,53.13244334,2,36,0,0,0,1,0,0,0,0,0
0,0,0,103,0,0.60480455,38.42777361,8.48194491,0,21.75217331,0,15.14937687,East,865.3916016,50.37751922,2,37,0,1,0,0,0,0,0,0,0
0,0,0,104,0,0.87738187,38.67989014,7.99806044,0,21.71477075,0,6.76111889,Northeast,868.9588623,49.31109698,2,38,0,0,0,1,0,0,0,0,0
0,0,0,105,0,1.11209513,40.56763712,24.73855196,0,2.85522511,0,5.5500164,Northeast,874.6088867,51.35165492,2,39,0,0,0,1,0,0,0,0,0
0,0,0,106,0,2.12877883,51.96138873,4.7435297,0,10.44321769,0,13.19591618,Northeast,877.9655762,48.39506762,2,40,0,0,0,1,0,0,0,0,0
0,4157.245296,0,107,0,0,50.58816999,0.52454179,0,18.16760885,0,23.39185715,Southeast,882.0463867,53.00255858,2,41,0,0,0,0,0,0,1,0,0
0,4157.245296,0,108,0,0.12672369,62.82066935,2.37392025,0,3.96241361,0,10.70687675,Southeast,880.7975464,51.87803,2,42,0,0,0,0,0,0,1,0,0
0,0,0,109,0,0.20275777,61.39746391,4.08858559,0,3.59832464,0,8.29967976,South,879.0206909,51.25595036,2,43,0,0,0,0,0,1,0,0,0
0,2208.946191,0,110,0,0.20275756,66.26047088,0.63659242,0,2.19071561,0,14.22078896,Northeast,876.46521,52.57530608,2,44,0,0,0,1,0,0,0,0,0
0,0,0,111,0,0.45676776,57.81915265,8.67251463,0,2.34550875,0,23.11198235,Northeast,882.2143555,49.94343068,2,45,0,0,0,1,0,0,0,0,0
0,0,0,112,0,0.64569446,50.77013061,9.37104972,0,8.40909477,0,24.96073723,Northeast,903.7793579,47.84134838,2,46,0,0,0,1,0,0,0,0,0
0,0,0,113,0,0.27879085,37.59883985,2.94152481,0,28.48159709,0,12.7582674,Southwest,925.3172607,47.30130122,2,47,0,0,0,0,0,0,0,1,0
0,0,0,114,0,0,20.27257862,0.63361538,0,47.10538821,0,30.19666672,Southwest,933.7536011,46.62111524,2,48,0,0,0,0,0,0,0,1,0
0,0,0,115,0,0,35.95865852,4.76093373,0,28.58796982,0,22.46525955,South,947.9186401,49.76227562,2,49,0,0,0,0,0,1,0,0,0
0,0,0,116,0,0,45.79813577,2.49772583,0,21.01510547,0,9.93442535,South,956.621582,51.95322644,2,50,0,0,0,0,0,1,0,0,0
0,0,0,117,0,0,63.22420189,1.45394772,0,4.63622125,0,7.6877985,South,969.2243042,56.26334966,2,51,0,0,0,0,0,1,0,0,0
0,4370.718081,0,118,0,0,60.61407941,0.87936004,0,7.82433429,0,4.23412228,Southeast,1007.991394,56.663258,2,52,1,0,0,0,0,0,1,0,0
0,6891.432233,1,119,0,0,29.12054176,7.5918969,0,32.60874058,0,20.8720665,East,1063.737305,52.9376162,2,53,0,1,0,0,0,0,0,0,0
0,0,0,120,0,0,5.34175571,0.07603346,0,63.9067925,0,14.54817104,South,1086.983032,49.18804826,2,54,0,0,0,0,0,1,0,0,0
0,4027.750263,32,121,0,0,1.71792524,0.5790733,0,67.03098792,0,21.60144997,Southwest,1167.269653,49.6221368,2,55,0,0,0,0,0,0,0,1,0
0,1774.224279,6,122,0,0,1.73902327,0.05068888,0,67.541677,0,4.70517635,East,1184.76709,51.28329452,2,56,0,1,0,0,0,0,0,0,0
0,0,0,123,0,0,0.67700096,0,0,68.65779163,0,21.80047607,Southwest,1228.824097,50.44587962,2,57,0,0,0,0,0,0,0,1,0
247.3001801,15688.16423,39,124,0,0,4.99475454,0,0.79642343,63.54701796,0,12.88133526,South,1204.217285,59.78732828,2,58,3,0,0,0,0,1,0,0,0
882.7173705,10990.37484,18,125,0,0,5.08701569,0.10019745,5.47084354,58.68354224,0,2.8767612,Southeast,1244.411865,58.86104486,2,59,2,0,0,0,0,0,1,0,0
566.6891873,12815.32825,21,126,0,0.15206604,7.22835042,0.22927918,3.99322818,57.74207793,0,4.25036669,East,1305.840332,58.92940526,2,60,2,1,0,0,0,0,0,0,0
